"A total of %1 submission(s) have been sent.","A total of %1 submission(s) have been sent."
"Add Profile To Lists","Add Profile To Lists"
"Are you sure?","Are you sure?"
"arguments","arguments"
"City","City"
"componentType","componentType"
"config","config"
"Consent (e.g. ['sms', 'email', 'web', 'directmail', 'mobile'])","Consent (e.g. ['sms', 'email', 'web', 'directmail', 'mobile'])"
"Country","Country"
"Custom property (Field label)","Custom property (Field label)"
"Customer Email","Customer Email"
"data","data"
"dataType","dataType"
"Default","Default"
"Email","Email"
"Email or phone required","Email or phone required"
"Enable Klaviyo Integration","Enable Klaviyo Integration"
"Endpoint","Endpoint"
"Event","Event"
"Field","Field"
"Fields Mapping","Fields Mapping"
"First name","First name"
"formElement","formElement"
"General settings that are required to connect Klaviyo and Magento.","General settings that are required to connect Klaviyo and Magento."
"Identify","Identify"
"Klaviyo","Klaviyo"
"Klaviyo Attribute","Klaviyo Attribute"
"Klaviyo Integration Add-on","Klaviyo Integration Add-on"
"Klaviyo Integration Settings","Klaviyo Integration Settings"
"Klaviyo private key not configured.","Klaviyo private key not configured."
"Klaviyo public key not configured.","Klaviyo public key not configured."
"label","label"
"Last name","Last name"
"Latitude","Latitude"
"Longitude","Longitude"
"Organization","Organization"
"Phone number (e.g., ""+13239169023"")","Phone number (e.g., ""+13239169023"")"
"Postal code","Postal code"
"Private API Token","Private API Token"
"Public API Token","Public API Token"
"Region","Region"
"Send Data","Send Data"
"sortOrder","sortOrder"
"Street line 1","Street line 1"
"Street line 2","Street line 2"
"Timezone","Timezone"
"Title","Title"
"Track","Track"
"URL to a photo of a person","URL to a photo of a person"
"visible","visible"
